"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"147","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",33,0.844100241183684
"148","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",33.5,0.86631340542536
"149","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",34,0.878012338592642
"150","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",34.5,0.855206823304522
"151","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",35,0.876857628957801
"152","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",35.5,0.921846316029549
"153","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",36,0.932952898150387
"154","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",36.5,0.899633151787874
"155","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",37,0.887277079178441
"156","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",37.5,0.918555476882635
"157","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",38,0.855206823304522
"158","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",38.5,0.855206823304522
"159","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",39,0.796227042386969
"160","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",39.5,0.815429761755474
"161","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",0,NA
"162","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",0.5,NA
"163","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",1,NA
"164","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",1.5,NA
"165","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",2,NA
"166","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",2.5,NA
"167","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",3,NA
"168","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",3.5,NA
"169","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",4,NA
"170","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",4.5,0.0801247915695473
"171","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",5,0.107969577292298
"172","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",5.5,0.110717893805193
"173","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",6,0.114895927533691
"174","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",6.5,0.139988141592772
